rule,sourceType,sourceFile,sourceRow,partyName,currency,direction,rawBalance,ourRefNo,sourceInternalId
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,226,LEMOND FOOD CORP NEW ADDR,CAD,receivable,730,PEOI009301,17113
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,234,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1620,PEOI009340,17105
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,237,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1065,PEOI009318,17098
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,241,LEMOND FOOD CORP NEW ADDR,USD,receivable,140,PEOI009334,17094
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,245,LEMOND FOOD CORP NEW ADDR,CAD,receivable,580,PEOI009287,17093
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,251,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009265,17079
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,260,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009267,17076
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,261,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009264,17075
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,262,GOODLIFE GROUP,CAD,settled,0,PEAI008785,17074
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,265,GOODLIFE GROUP,USD,settled,0,PEAI008785,17071
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,266,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009268,17070
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,267,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009284,17069
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,268,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009261,17068
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,270,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009262,17066
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,271,IFLOW HVAC INC,CAD,receivable,8348.08,PEOI009329,17065
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,273,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009274,17058
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,276,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009283,17055
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,283,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009324,17047
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,285,LEMOND FOOD CORP NEW ADDR,USD,receivable,15,PEOI009292,17045
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,286,LEMOND FOOD CORP NEW ADDR,USD,receivable,140,PEOI009317,17044
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,301,LEMOND FOOD CORP NEW ADDR,USD,receivable,4500,PEOI009311,17034
